n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
1,410,0,410,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th90
3,1246,1,1245,2,0.0008025682182985554,0.3333333333333333,0.0016012810248198558,634.9999999999909,266.9999999999959,,,0.3333333333333333,0.5,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th90
57,938,15,923,42,0.015991471215351813,0.2631578947368421,0.030150753768844223,286.86666666664945,371.26666666663743,0.0,,0.2682926829268293,0.3928571428571429,0.2857142857142857,0.2758620689655172,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th90
0,272,0,272,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th90
5,322,3,319,2,0.009316770186335404,0.6,0.018348623853211014,426.00000000012034,246.99999999995725,,,0.6,0.7499999999999999,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th90
1,1152,0,1152,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th30
0,1089,0,1089,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th30
7,721,0,721,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th30
1,283,1,282,0,0.0035335689045936395,1.0,0.007042253521126761,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th30
1,742,0,742,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th30
37,749,4,745,33,0.0053404539385847796,0.10810810810810811,0.010178117048346057,349.75000000000375,360.5000000000089,0.07142857142857142,0.11111111111111112,0.15,0.24999999999999997,0.0,,TINA_20250203_v2.wav,v1_random,len500_hop050_th30
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th30
0,1026,0,1026,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th30
16,629,1,628,15,0.001589825119236884,0.0625,0.0031007751937984496,1223.0000000000132,218.00000000001774,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th30
1,1184,0,1184,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th30
